id,year,title,abstract
25332,2021,PENILAIAN TATA KELOLA TEKNOLOGI INFORMASI E-LEARNING UNIVERSITAS MUHAMMADIYAH PALEMBANG MENGGUNAKAN COBIT 5 PADA DOMAIN EVALUATE DIRECT AND MONITORING.,"Penelitian ini bertujuan untuk mengukur tingkat kapabilitas dan mengetahui jumlah gap dari tata kelola tekinologi informasi e-learning universitas muhammadiyah Palembang dengan menggunakan metode COBIT 5 dengan fokus domain EDM, penelitian ini menggunakan 5 orang responden sesuai RACI Chart, metode pengumpulan data dilakukan secara langsung tatap muka, hasil dari tingkat kapabilitas menunjukan EDM01 di level 4(Predictable process), EDM02 di level 4(Predictable process), EDM03 di level 4(Predictable process), EDM04 di level 4(Predictable process) dan EDM05 di level 5(Optimizing process), sehingga dapat dilihat tata kelola teknologi informasi e-learning sudah cukup baik."
31592,2021,ANALISIS KEPUASAN PENGGUNA SISTEM INFORMASI\r\nADMINISTRASI KEPENDUDUKAN DENGAN MODEL END-USER COMPUTING SATISFACTION.,"Prabumulih sejak tahun 2008 telah menggunakan Sistem Informasi\r\nAdministrasi Kependudukan(SIAK) dalam mengelola administrasi\r\nkependukannya. SIAK adalah suatu sistem informasi yang disusun\r\nberdasarkan prosedur-prosedur dan berbasis teknologi informasi dan\r\nkomunikasi yang bertujuan untuk menata sistem administrasi\r\nkependudukan,sistem ini meliputi pendataan penduduk dan pencatatan\r\nsipil. Oleh karena sistem tersebut telah lama diimplementasikan maka\r\ndiperlukan suatu evaluasi untuk menilai sistem,apakah layak dan baik\r\nuntuk digunakan. Tujuan penelitian ini yaitu mengevaluasi sistem tersebut\r\nmenggunakan Model End User Satisfaction (EUCS). Evaluasi dengan\r\nmenggunakan model ini lebih menekankan kepuasan pengguna akhir\r\nterhadap aspek teknologi, dengan menilai isi, keakuratan, format, waktu\r\ndan kemudahan penggunaan dari sistem.Penulis berharap dengan\r\nmenggunakan model ini dalam penelitian dapat mengetahui dan\r\nmenganalisi kepuasan pengguna tehadap SIAK\r\n Kata Kunci: SIAK, EUCS, Kepuasan pengguna"
28729,2021,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN LAHAN PERUMAHAN MENGGUNAKAN METODE ANALYTICAL HIERARCHY PROCESS (AHP) DAN TECHNIQUE FOR ORDER PREFERENCE BY SIMILARITY TO IDEAL SOLUTION (TOPSIS).,"House is a basic need for humans besides need for clothing and food. Recently, a house has also become an investment object for some people because a house has good investment values. Determining the housing location requires many considerations such as the selection of soil types, road access, land status, drainage, and the existence of a retention pool, so the housing which is built can be used maximum by getting a good location as a development area.\r\nOne of approaches which can be done in this case is the Decision-Making System using the Analytical Hierarchy Process (AHP) method and the Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS). The existence of the system can assist contractors in conducting research on the housing construction area, and the system can calculate the highest value of each existing area to choose the best area for housing development.\r\nKeywords: Decision Support System, House, building"
15256,2021,ANALISIS KESUKSESAN SISTEM INFORMASI E-KKN LP2M\r\nUIN RADEN FATAH PALEMBANG DENGAN\r\nMENGGUNAKAN MODEL DELONE AND MCLEAN.,"Sistem informasi E-KKN merupakan salah satu sistem informasi di lembaga penelitian dan pengabdian masyarakat(LP2M) Universitas Islam Negeri Raden Fatah Palembang yang memberikan pelayanan dan informasi mengenai kuliah kerja Nyata (KKN). Penelitian ini bertujuan untuk mengukur tingkat kesuksesan sistem informasi E-KKN berdasarkan pengaruh antar variabel pada model kesuksesan. Model kesuksesan yang digunakan menggunakan model Delone and Mclean IS Sucess Model. Hasil penelitian menunjukkan bahwa kualitas sistem dan kualitas pelayanan berpengaruh signifikan terhadap pemakaian, kuliatas informasi berpengaruh signifikan terhadap kepuasan pemakai, pemakaian berpengaruh signifikan terhadap kepuasan pemakai, dan kepuasan pengguna berpengaruh signifikan terhadap manfaat-manfaat bersih."
15417,2021,RANCANG BANGUN SISTEM DIAGNOSA PENYAKIT BUTA \r\nWARNA BERBASIS MOBILE PHONE.,"Pada teknologi yang sangat pesat hampir setiap orang memiliki smartphone, mempermudah dalam mengakses, mengolah data, juga dalam berkomunikasi yang tidak lagi dibatasi oleh jarak dan waktu bahkan tempat yang jauh sekalipun, seiring dengan tingkat mobilitas yang tinggi, penelitian aplikasi tes buta warna berbasis mobilephone android yang biasanya hanya dapat dilakukan pada keperluan tertentu saja seperti tes kerja dan tes masuk dalam perguruan tinggi tertentu, sistem ini dibuat bertujuan memudahkan pengguna dalam memeriksa kelainan buta warna secara mandiri tanpa harus pergi ke dokter, Dalam pembuatan analisis dan perancangan aplikasi ini menggunakan metode pengembangan sistem, metode yang digunakan yaitu OOAD (Object Orientied Analysis Design) adalah metode model proses analisa dan perancangan berorientasi objek, kemudian melakukan analisis sistem dengan menggunakan pemodelan UML (Unified Modelling language) dimana perancangan sistem merupakan syarat untuk melakukan pengembangan dan memberikan gambaran secara umum kepada pengguna tentang sistem yang akan dibangun, perancangan sistem dalam pembuatan aplikasi tes buta warna ini terdiri dari Use Case Diagram, Activity Diagram dan Sequance Diagram, Class Diagram."
15952,2021,SISTEM INFORMASI KHS DAN KRS ONLINE PADA UNIVERSITAS ISLAM OKI.,
15552,2021,SISTEM INFORMASI PENJUALAN BARANG \r\nPADA PT. FASTRATA BUANA CABANG PALEMBANG \r\nBERBASIS WEBSITE.,"PT. Fastrata Buana Palembang merupakan salah satu bisnis unit dari PT. Kapal Api Global yang bergerak dalam bidang distributor consumer goods yang bertugas untuk mendistributorkan barang - barang yang ada ke seluruh wilayah Indonesia. Saat ini dalam kegiatan penjualannya PT. Frastrata Buana cabang Palembang masih menggunakan cara konvensional, keberadaan sistem yang digunakan selama ini belum dapat dijadikan sarana yang baik karena belum adanya suatu program komputer khusus seperti contoh proses pendataan, penjualan dan laporan terlebih dahulu dicatat secara manual dan disimpan dibuku besar hal ini menyebabkan terkadang adanya ketidakakuratan data saat akan dilakukan pendataan ulang dan juga tidak tersusun secara rapi. Tujuan penelitian ini adalah membuat sistem informasi penjualan barang yang dapat mengelola data produk, data pelanggan dan data penjualan barang. Dalam penelitian ini peneliti menggunakan metode Prototype sebagai metode pengembangan dan permodelan menggunakan UML (Unified Model Language). Sedangkan pembuatan aplikasinya sendiri menggunakan bahasa pemrograman PHP dengan MySQL untuk pengolahan Database. Dengan adanya sistem informasi penjualan berbasis website, maka diharapkan dapat membatu PT. Fastrata Buana cabang Palembang dalam mengelola data penjualan serta dapat menjadi sarana informasi dan promosi bagi perusahaan."
20258,2021,USABILITY ANALYSIS USING POST - STUDY SYSTEM USABILITY\r\nQUESTIONNAIRE ( PSSUQ ) HIGHER EDUCATION INFORMATION SYSTEM (\r\nSIDIKTI ) SJAKHYAKIRTI UNIVERSITY.,"Information and communication technology (ICT) in the academic environment has an\r\nimportant contribution to the development of academic information systems. The Higher\r\nEducation Information System or better known as SIDIKTI is a system that exists at\r\nSjakhyakirti University used as a basis for the needs of the academic community to make it\r\neasier for operators, students and lecturers to control teaching schedules, take courses, view\r\nclassrooms, and print semester study results. Sjakhyakirti University is one of the universities\r\nthat apply information technology in processing academic data. The system that is made needs\r\nto be investigated for the level of usability of the utilization of the system used. A high level of\r\nusability is usually closely related to the popularity and high utilization of the system by users.\r\nTesting is done by distributing questionnaires to respondents who are processed using the\r\nPSSUQ Questionnaire Package which is grouped into 4 response items, namely overall,\r\nsystem, infoqual and intqual. The results of the PSSUQ questionnaire get 2.504 overall, sysuse\r\n2.502, infoqual 2.509 and intqual 2.593. From the results that have been obtained that SIDIKTI\r\nas a whole is good, and in terms of usability SIDIKTI is easy and convenient to use so that\r\nusers become more productive, effective, efficient in using the system and the quality of\r\nSIDIKTI information can be well received by users, so it helps in completing work."
25401,2021,SISTEM INFORMASI PENGELOLAAN DATA PERMINTAAN ALAT KESEHATAN DAN FARMASI (STUDI KASUS: PT CAHAYA DARUSALAM UTAMA).,"SISTEM INFORMASI PENGELOLAAN DATA PERMINTAAN ALAT KESEHATAN DAN FARMASI (STUDI KASUS: PT CAHAYA DARUSALAM UTAMA)\r\n\r\nABSTRAK\r\n\r\nPenulisan skripsi ini bertujuan untuk membangun sistem informasi pengelolaan data permintaan alat kesehatan dan farmasi di PT Cahaya Darusalam Utama. Pada penelitian ini menggunakan pendekatan penelitian kualitatif yaitu dengan melakukan observasi langsung, melakukan wawancara dan mengumpulkan data berupa dokumen yang berkaitan dengan permintaan dan persediaan alat kesehatan dan farmasi. Tujuannya ialah untuk membuat gambaran secara sistematis dan akurat mengenai sistem informasi pengelolaan data permintaan alat kesehatan dan farmasi pada PT Cahaya Darusalam Utama. Prosedur pemesanan, penerimaan dan pengeluaran persediaan alat kesehatan dan farmasi pada PT Cahaya Darusalam Utama sudah memadai. Namun pada perusahaan belum menerapkan pengembangan Sistem Informasi untuk pendistribusian stok persediaan secara efisien. Dari hasil penelitian dapat disimpulkan bahwa perusahaan sebaiknya menerapkan Sistem Informasi Pengelolaan Data dalam pengendalian stok persediaan untuk meningkatkan kinerja Bagian Logistik &amp; Pengadaan. Untuk mengatasi hal tersebut perlu adanya sebuah sistem yang dapat melakukan monitoring permintaan alat kesehatan dan farmasi yang mencakup stok keluar-masuk barang pada distribusi perdagangan di PT Cahaya Darusalam Utama. Metode yang digunakan dalam pengumpulan data yaitu wawancara, observasi dan studi pustaka, metode pengembangan sistem yang digunakan adalah metode Rational Unified Process, pengujian program menggunakan Black Box Testing, bahasa pemrograman PHP, UML sebagai perancangan dan memakai database Mysql.\r\n\r\nKata Kunci: Sistem Informasi, Pengelolaan Data Permintaan, Alat Kesehatan, Farmasi."
25050,2021,SISTEM INFORMASI MANAJEMEN HUBUNGAN PELANGGAN MENGGUNAKAN CRM IRIS METHODOLOGY (STUDI KASUS: PT SAKO UTAMA WISATA).,"ABSTRACT\r\n\r\nPT Sako Utama Wisata or Sako Holidays Tour is a company engaged in domestic and foreign Tourism services and services, booking Tour and Umroh Travel packages. The number of Travel companies that have sprung up now makes PT Sako Utama Wisata must be able to compete with other Travel companies in order not to lose in competition. At PT Sako Utama Wisata, have not used the system to help business processes that occur. The purpose of this research is to create a website-based Customer Relationship Management Information System using the CRM IRIS Methodology concept and Prototype development method. The system is expected to help PT Sako Utama Wisata Travel in getting new customers, retaining customers, establishing relationships with old customers, and making it easier for customers to book Tour or Umroh Tour packages.\r\n\r\nKeywords: Information System, CRM IRIS, Prototype"
42390,2021,PENERAPAN METODE UNIFIED APPROACH (UA) DALAM SISTEM INFORMASI AKADEMIK PADA MA PATRA MANDIRI PLAJU PALEMBANG BERBASIS WEB.,"MA Patra Mandiri Plaju Palembang merupakan salah satu sekolah Madrasah Aliyah yang ada di kota Palembang. Saat ini proses-proses akademik yang berjalan sebagian besar masih dilakukan secara manual. Adanya pencatatan yang masih menggunakan buku besar dan proses pendataan yang belum terintegrasi yang dapat menyebabkan kerusakan atau kehilangan data dan juga akan berakibatkan kesulitan dalam mencari data apabila data tersebut diperlukan. Oleh karena itu, Tujuan penelitian ini untuk membangun sebuah sistem informasi akademik  pada  MA Patra Mandiri Plaju Palembang yang terintegrasi dan dapat digunakan dalam mendukung serta meningkatkan kegiatan akademik sekolah. Metode  pengembangan menggunakan Unified Approach (UA) yang di kemukakan oleh Ali Bahrami (1999) yang terdiri dari tahapan Object Oriented Analysis (OOA) dan Object Oriented Design (OOD), serta menggunakan Unified Modelling Language (UML) untuk memodelkan kebutuhan sistem. Hasil dari penelitian ini adalah sistem informasi akademik  yang menghasilkan  informasi  dalam bentuk laporan maupun grafik yang dapat digunakan sebagai pertimbangan dan keputusan pihak sekolah. \r\n\r\nKata Kunci : Sistem Infomasi Akademik, Unified Modelling Language (UML) , Unified Approach (UA)."
