K,C_V,U_Mass,Train Perp,Test Perp,Max CosSim,Overlaps>0.4
3,0.32567778865633806,-5.529432684404138,-7.276841226834384,-8.760509319718818,0.6458959769736472,3
4,0.32515142096267813,-5.926731892538552,-7.30478731462532,-9.23962051245523,0.6116170671687468,6
5,0.3286760494055244,-8.405263475487965,-7.322020917781229,-9.664861028197402,0.5705056033825329,10
