Tahun,1,2,3
2021,0.3548387096774194,0.2903225806451613,0.3548387096774194
2022,0.3258426966292135,0.30337078651685395,0.3707865168539326
2023,0.3541666666666667,0.3125,0.3333333333333333
2024,0.2549019607843137,0.43137254901960786,0.3137254901960784
2025,0.34782608695652173,0.358695652173913,0.29347826086956524
