id,year,author,title,abstract,url
20613,2021,,ANALISIS KELAYAKAN INVESTASI SISTEM INFORMASI SIDIKTI DENGAN METODE INFORMATION ECONOMICS PADA UNIVERSITAS SJAKHYAKIRTI PALEMBANG.,,http://repository.radenfatah.ac.id/20613/
34695,2021,,ANALISIS KEPUASAN PENGGUNA SISTEM INFORMASI AKADEMIK (SIAKAD) DI SEKOLAH TINGGI ILMU EKONOMI SERELO LAHAT MENGGUNAKAN END USER COMPUTING SATISFACTION.,,http://repository.radenfatah.ac.id/34695/
20684,2022,,SISTEM INFORMASI PENJUALAN BERBASIS WEB DI CV SEHAT SEJAHTERA 69 PALEMBANG MENGGUNAKAN METODE PROTOTYPE.,,http://repository.radenfatah.ac.id/20684/
20252,2022,,INFORMATION SYSTEM SELECTION FOR PROSPECTIVE STUDENTS IN SMK SWAKARYA PALEMBANG.,,http://repository.radenfatah.ac.id/20252/
20695,2022,,SISTEM INFORMASI TRACER STUDY STIA BALA PUTRA DEWA PALEMBANG.,,http://repository.radenfatah.ac.id/20695/
20587,2022,,ANALISIS KUALITAS SISTEM DAPODIK PADA SEKOLAH MENENGAH ATAS DI KECAMATAN PULAU BERINGIN.,,http://repository.radenfatah.ac.id/20587/
25426,2022,,Audit Sistem Informasi Pelayanan Perpustakaan UIN Raden Fatah (SLiMS) Menggunakan ITIL V4 Praktik Service Management.,,http://repository.radenfatah.ac.id/25426/
26875,2022,,SISTEM INFORMASI SEKOLAH PADA SMP SRIWIJAYA PALEMBANG MENGGUNAKAN FRAMEWORK LARAVEL.,,http://repository.radenfatah.ac.id/26875/
26066,2022,,REKOMENDASI USER INTERFACE MENGGUNAKAN METODE GOAL DIRECTED DESIGN PADA WEBSITE SEKOLAH TINGGI ILMU KESEHATAN AL-SU’AIBAH PALEMBANG.,,http://repository.radenfatah.ac.id/26066/
22012,2022,,Mengukur Tingkat Ketepatan Kelulusan Mahasiswa Dengan Menggunakan Metode Decision Tree.,,http://repository.radenfatah.ac.id/22012/
27159,2022,,Penerapan model utaut 2 dalam penggunaan e-learning sebagai media pembelajaran siswa (studi kasus: sma xaverius 1 palembang).,,http://repository.radenfatah.ac.id/27159/
28351,2022,,SISTEM INFORMASI GEOGRAFIS TEMPAT SAMPAH RESMI DI KOTA PALEMBANG.,,http://repository.radenfatah.ac.id/28351/
27433,2022,,ANALISIS KUALITAS LAYANAN APLIKASI MAXIM MENGGUNAKAN METODE KANO.,,http://repository.radenfatah.ac.id/27433/
23673,2022,,ANALISIS USABILITY WEBSITE SMP YPI TUNAS BANGSA PALEMBANG MENGGUNAKAN METODE HEURISTIC EVALUATION.,,http://repository.radenfatah.ac.id/23673/
20719,2022,,IMPLEMENTASI METODE EXTREME PROGRAMMING PADA SISTEM INFORMASI PERCETAKAN TOTAL DESAIN PALEMBANG.,,http://repository.radenfatah.ac.id/20719/
